CU WBS #,CU,Unit Of Measure,Description,Compatible Unit Group,Install Hours,Removal Hours,Transfer Hours,Install Price,Removal Price,Transfer Price
CU-4540,XFR-10-76-120-1B,EA,"XFR,10KVA,7.6/13.2kVY,120/240,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4541,XFR-10-76-120-2B,EA,"XFR,10kva,7.6/13.2kVY,120/240,2BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4542,XFR-10-76-120-2B-T,EA,"XFR,10kva,7.6/13.2kVY,120/240,2BG,TP",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4543,XFR-10-76-120CUT-1B,EA,"XFR,10KVA,7.6/13.2kVY,120 CUTOVER,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4544,XFR-10-76-277-1B,EA,"XFR,10KVA,7.6/13.2kVY,277,1BG",XFR-S,1.1840,0.8000,1.0400,$234.00,$159.00,$203.00
CU-4545,XFR-100-12D-120-2B-T,EA,"XFR,100kva,12kv Delta,120/240v,2Bg,Taps",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4546,XFR-100-12D-240-2B-T,EA,"XFR,100kva,12kv Delta,240/480v,2Bg,Taps",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4547,XFR-100-144-120-1B,EA,"XFR,100KVA,14.4/24.9KVY,120/240,1B",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4548,XFR-100-144-120-1B-T,EA,"XFR,100KVA,14.4/24.9KVY,120/240,1B,TP",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
CU-4549,XFR-100-144-120CUT-1B,EA,"XFR,100KVA,14.4/24.9KVY,120CUTOVER,1B",XFR-M,1.2800,0.9440,1.0400,$254.17,$187.45,$206.51
